Time[s],Packet ID,Address,Read/Write,Data
12.4737457950,1393,0xC6,W,0x02 0xD6 0x84
12.4760808550,1394,0x20,W
12.4823899600,1395,0x20,W
12.4887034300,1396,0x22,W
12.4950122050,1397,0x22,W
12.5013248100,1398,0x24,W
12.5076337000,1399,0x24,W
12.5139528300,1400,0x6C,W,0x50 0x22
12.5140873200,1400,0x6D,R,0x08 0x7A
12.5142170400,1401,0x6C,W,0x50 0x1E
12.5143516350,1401,0x6E,W,0x1F 0x0B
12.5331876100,1402,0x52,W,0x00 0x17 0x14
12.5333783350,1403,0x52,W,0x00 0x19 0x10
12.5338850800,1404,0x52,W,0x00 0x03 0xFF
14.4590499450,1405,0x52,W,0x04 0x0A
14.4591846700,1405,0x53,R,0xFF 0x94 0x41 0x42
14.4698908150,1405,0x53,R,0xFF
14.4807546050,1406,0x52,W,0x04 0x0A
14.4808897250,1406,0x53,R,0xFF
14.4977727500,1407,0x52,W,0x00 0x1A
14.4979078950,1407,0x53,R,0xFF
14.5037564200,1408,0x52,W,0x01 0xDC
14.5038912300,1408,0x53,R,0xFF
14.5097760300,1409,0x52,W,0x00 0x0A
14.5099108450,1409,0x53,R,0xFF
14.5157544600,1410,0x52,W,0x01 0xFC
14.5158887400,1410,0x53,R,0xFF
14.5217548700,1411,0x52,W,0x00 0x85
14.5218893800,1411,0x53,R,0xFF
14.5277543400,1412,0x52,W,0x02 0x1C
14.5278893700,1412,0x53,R,0xFF
14.5337676500,1413,0x52,W,0x00 0x0C
14.5339024750,1413,0x53,R,0xFF
14.5547729450,1414,0x52,W,0x00 0x0C
14.5549078550,1414,0x53,R,0xFF
14.5607684450,1415,0x52,W,0x81 0x9E
14.5609029450,1415,0x53,R,0xFF
14.5817565600,1416,0x52,W,0x02 0x3C
14.5818913900,1416,0x53,R,0xFF
14.7887845700,1417,0x52,W,0x00 0x1A
14.7889195000,1417,0x53,R,0xFF
14.7947570350,1418,0x52,W,0x01 0xDC
14.7948919800,1418,0x53,R,0xFF
14.8067656550,1419,0x52,W,0x00 0x0A
14.8069003700,1419,0x53,R,0xFF
14.8127735300,1420,0x52,W,0x01 0xFC
14.8129081450,1420,0x53,R,0xFF
14.8250363150,1421,0x52,W,0x00 0x0B
14.8251712450,1421,0x53,R,0xFF
14.8310352350,1422,0x52,W,0x02 0x1C
14.8311699600,1422,0x53,R,0xFF
14.8427579950,1423,0x52,W,0x00 0x0C 0xA9 0xFF
15.0520833100,1424,0x52,W,0x00 0x0C
15.0522180350,1424,0x53,R,0xFF
15.0577600150,1425,0x52,W,0x02 0x3C
15.0578950400,1425,0x53,R,0xFF
15.0787583600,1426,0x52,W,0x02 0x3C
15.0788928600,1426,0x53,R,0xFF
15.0847685800,1427,0x52,W,0x04 0x0A
15.0849035150,1427,0x53,R,0xFF
15.0957740350,1428,0x59,R,0x82 0x85
15.0959086550,1428,0x53,R,0xFF
15.1067578300,1429,0x52,W,0x04 0x0A
15.1068928700,1429,0x53,R,0xFF
15.1237575300,1430,0x52,W,0x00 0x1A
15.1238923400,1430,0x53,R,0xFF
15.1297698700,1431,0x52,W,0x01 0xDC 0xA9 0xFF
15.1357603700,1432,0x52,W,0x00 0x05
15.1358951900,1432,0x53,R,0xFF
15.1417687800,1433,0x52,W,0x01 0xFC 0xA9 0xFF
15.1477637650,1434,0x52,W,0x00 0x0B
15.1478986850,1434,0x53,R,0xFF 0x94 0x40 0x47
15.1539176600,1434,0x53,R,0xFF
15.1597622450,1435,0x52,W,0x00 0x0C
15.1598971600,1435,0x53,R,0xFF
15.1807595300,1436,0x52,W,0x00 0x0C
15.1808945550,1436,0x53,R,0xFF
15.1867711300,1437,0x52,W,0x02 0x3C
15.1869060700,1437,0x53,R,0xFF
15.2077580750,1438,0x52,W,0x02 0x3C
15.2078928000,1438,0x53,R,0xFF
15.4147914400,1439,0x52,W,0x00 0x1A
15.4149259850,1439,0x29,R,0xFF
15.4207738100,1440,0x52,W,0x01 0xDC
15.4209083200,1440,0x53,R,0xFF
15.4327741100,1441,0x52,W,0x00 0x0A 0xA9 0xFF
15.4387733500,1442,0x52,W,0x01 0xFC
15.4389079350,1442,0x53,R,0xFF
15.4507613950,1443,0x52,W,0x00 0x0B
15.4508960000,1443,0x53,R,0xFF
15.4567864350,1444,0x52,W,0x01 0x8E
15.4569213650,1444,0x53,R,0xFF
15.4687723350,1445,0x52,W,0x00 0x0C
15.4689069400,1445,0x53,R,0xFF
15.4897781450,1446,0x52,W,0x00 0x0C
15.4899130800,1446,0x53,R,0xFF
15.4957777050,1447,0x52,W,0x01 0x9E
15.4959123200,1447,0x53,R,0xFF
15.5167607050,1448,0x52,W,0x02 0x3C
15.5168953100,1448,0x53,R,0xFF
15.5227860850,1449,0x52,W,0x04 0x0A
15.5229206800,1449,0x53,R,0xFF
15.5337853500,1450,0x52,W,0x04 0x0A
15.5339201800,1450,0x53,R,0xFF
15.5447709600,1451,0x52,W,0x04 0x0A
15.5449058650,1451,0x53,R,0xFF
15.5617956800,1452,0x52,W,0x00 0x1A
15.5619307300,1452,0x53,R,0xFF
15.5677614500,1453,0x52,W,0x01 0xDC
15.5678957550,1453,0x53,R,0xFF
15.5737606800,1454,0x52,W,0x00 0x0A 0xA9 0xFF
15.5797843450,1455,0x52,W,0x01 0xFC
15.5799191700,1455,0x53,R,0xFF 0x94 0x40 0x42
15.5859099800,1455,0x53,R,0xFF
15.5917808000,1456,0x52,W,0x02 0x1C
15.5919155150,1456,0x53,R,0xFF
15.5977606300,1457,0x52,W,0x00 0x0C
15.5978952350,1457,0x53,R,0xFF
15.6187766900,1458,0x52,W,0x00 0x0C
15.6189112000,1458,0x53,R,0xFF
15.6247593900,1459,0x52,W,0x02 0x3C 0xA9 0xFF
15.6457711800,1460,0x52,W,0x02 0x3C
15.6459060200,1460,0x53,R,0xFF
15.8527720250,1461,0x52,W,0x00 0x1A
15.8529071650,1461,0x53,R,0xFF
15.8587566350,1462,0x52,W,0x00 0xEE
15.8588913600,1462,0x53,R,0xFF
15.8707580200,1463,0x52,W,0x00 0x0A
15.8708924000,1463,0x53,R,0xFF
15.8767685500,1464,0x52,W,0x01 0xFC
15.8769033850,1464,0x53,R,0xFF
15.8887657550,1465,0x52,W,0x00 0x0B 0xA9 0xFF
15.8947694750,1466,0x52,W,0x02 0x1C
15.8949042900,1466,0x53,R,0xFF
15.9067670100,1467,0x52,W,0x00 0x0C
15.9069017150,1467,0x53,R,0xFF
15.9277572400,1468,0x52,W,0x00 0x0C
15.9278924800,1468,0x53,R,0xFF
15.9337545800,1469,0x52,W,0x02 0x3C
15.9338892800,1469,0x53,R,0xFF
15.9547681750,1470,0x52,W,0x02 0x3C 0xA9 0xFF
15.9607692150,1471,0x52,W,0x04 0x0A
15.9609041500,1471,0x53,R,0xFF
15.9717727650,1472,0x52,W,0x04 0x0A
15.9719072650,1472,0x53,R,0xFF
15.9827715950,1473,0x52,W,0x04 0x0A
15.9829062000,1473,0x53,R,0xFF
15.9997560150,1474,0x52,W,0x00 0x1A
15.9998910500,1474,0x53,R,0xFF
16.0057569650,1475,0x52,W,0x01 0xDC
16.0058915450,1475,0x14,W,0xFF
16.0117546000,1476,0x52,W,0x00 0x85
16.0118894300,1476,0x53,R,0xFF
16.0177561850,1477,0x52,W,0x01 0xFC
16.0178906900,1477,0x53,R,0xFF
16.0237547000,1478,0x52,W,0x00 0x0B
16.0238895200,1478,0x53,R,0xFF
16.0297660900,1479,0x52,W,0x02 0x1C
16.0299008000,1479,0x53,R,0xFF
16.0357540250,1480,0x52,W,0xC0 0x43
16.0358890700,1480,0x53,R,0xFF
16.0567561100,1481,0x52,W,0x00 0x0C
16.0568909250,1481,0x53,R,0xFF
16.0627567400,1482,0x52,W,0x02 0x3C
16.0628914600,1482,0x53,R,0xFF
16.0837568050,1483,0x52,W,0x02 0x3C
16.0838916150,1483,0x53,R,0xFF
16.2907603950,1484,0x52,W,0x00 0x1A 0xA9 0xFF
16.2967743600,1485,0x52,W,0x01 0xDC
16.2969091800,1485,0x53,R,0xFF
16.3087583350,1486,0x52,W,0x00 0x85
16.3088931700,1486,0x53,R,0xFF
16.3147574700,1487,0x52,W,0x01 0xFC
16.3148921850,1487,0x53,R,0xFF
16.3267792900,1488,0x52,W,0x00 0x0B 0xA9 0xFF
16.3327586050,1489,0x52,W,0x02 0x1C
16.3328934200,1489,0x53,R,0xFF
16.3447747900,1490,0x52,W,0x00 0x0C 0xA9 0xFF
16.3657577700,1491,0x52,W,0x00 0x0C
16.3658921750,1491,0x53,R,0xFF
16.3717613000,1492,0x52,W,0x02 0x3C
16.3718959000,1492,0x53,R,0xFF
16.3927809950,1493,0x52,W,0x02 0x3C
16.3929155000,1493,0x53,R,0xFF
16.3987683900,1494,0x52,W,0x04 0x0A
16.3989032000,1494,0x53,R,0xFF
